code,population
01101,255288
01102,287436
01103,263897
01104,212182
01105,228957
01106,132365
01107,218004
01108,121378
01109,139885
01110,107931
01217,119049
01224,96888
01231,70483
01234,56206
01235,55493
01303,15236
01304,2748
01202,232050
01236,40945
01331,5105
01332,3227
01333,3704
01334,3277
01337,26624
01343,3410
01345,12735
01346,14417
01347,4604
01361,6489
01362,3693
01363,3113
01364,2915
01367,1993
01370,4338
01371,6287
01203,101185
01391,1178
01392,2488
01393,2421
01394,4297
01395,5147
01396,1965
01397,1911
01398,1956
01399,2780
01400,14276
01401,5370
01402,10268
01403,1385
01404,772
01405,1521
01406,2357
01407,3127
01408,16430
01409,1212
01209,5648
01210,72799
01215,17832
01216,10640
01218,8207
01222,6921
01225,36107
01226,14981
01227,2431
01228,17817
01423,8002
01424,4526
01425,2305
01427,4334
01428,9568
01429,10308
01430,3228
01431,1513
01432,6093
01433,2383
01434,2099
01436,2114
01437,1533
01438,2638
01204,310371
01220,15779
01221,24458
01229,19271
01452,6199
01453,9618
01454,5890
01455,3242
01456,2744
01457,3117
01458,8662
01459,9067
01460,9331
01461,4268
01462,2179
01463,1398
01464,2705
01465,2617
01468,2713
01469,3657
01470,603
01471,1328
01472,1173
01212,17494
01481,3328
01482,2577
01483,2572
01484,5652
01485,925
01486,2162
01487,2521
01214,30099
01511,2469
01512,3150
01513,1413
01514,6829
01516,3598
01517,2251
01518,1848
01519,2152
01520,2108
01208,108468
01211,32735
01219,19539
01543,16678
01544,3788
01545,10507
01546,3522
01547,4255
01549,5831
01550,3200
01552,5474
01555,17021
01559,7626
01560,2100
01561,3340
01562,921
01563,3832
01564,6104
01205,74017
01213,164217
01230,42372
01233,30017
01571,3427
01575,2374
01578,14589
01581,4218
01584,7709
01585,7014
01586,7107
01601,10414
01602,4385
01604,4881
01607,11130
01608,3612
01609,3795
01610,22004
01207,160431
01631,41830
01632,5447
01633,4491
01634,4883
01635,5243
01636,8409
01637,17307
01638,3785
01639,2969
01641,5204
01642,5565
01643,24396
01644,5613
01645,2741
01646,5766
01647,5668
01648,1996
01649,3838
01206,151161
01661,17799
01662,7875
01663,5015
01664,6543
01665,6350
01667,2408
01668,6600
01223,21779
01691,13344
01692,21859
01693,4605
01694,4076
